stage_hpf,stage_label,human_equivalent_pcw,gene,heart_layer,relative_expression_0to3,key_process,evidence_level,citation
168,"7 dpf","9-12 PCW",fbn1,Endocardium,2,"Continued leaflet remodeling",qualitative literature synthesis,"PMC4446259"
168,"7 dpf","9-12 PCW",fbn1,Myocardium,1,"Low",qualitative literature synthesis,"PMC4446259"
168,"7 dpf","9-12 PCW",fbn2,Endocardium,2,"Sustained baseline",qualitative literature synthesis,"PMC3644139"
168,"7 dpf","9-12 PCW",fbn2,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
168,"7 dpf","9-12 PCW",fbn3,Endocardium,3,"Peak severity window: severely affected fbn3-/- larvae die 6-9 dpf from endocardial detachment obstructing blood flow; bulbus arteriosus (aortic-root equivalent) dilation evident",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model (10.1101/2025.06.21.659830)"
168,"7 dpf","9-12 PCW",fbn3,Myocardium,1,"Low",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model"
216,"9 dpf","9-12 PCW",fbn1,Endocardium,2,"Valve architecture approaching mature form",qualitative literature synthesis,"PMC4446259"
216,"9 dpf","9-12 PCW",fbn1,Myocardium,1,"Low",qualitative literature synthesis,"PMC4446259"
216,"9 dpf","9-12 PCW",fbn2,Endocardium,2,"Sustained baseline",qualitative literature synthesis,"PMC3644139"
216,"9 dpf","9-12 PCW",fbn2,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
216,"9 dpf","9-12 PCW",fbn3,Endocardium,2,"Mildly-affected fbn3 mutants survive past this point with compromised but not fully detached endocardium; severe mutants have already died",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model"
216,"9 dpf","9-12 PCW",fbn3,Myocardium,1,"Low",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",fbn1,Endocardium,2,"Mature valve leaflet architecture (post-embryonic maturation continues to ~90 dpf)",qualitative literature synthesis,"PMC4446259 Analysis of Post-Embryonic Heart Development and Maturation in Zebrafish"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",fbn1,Myocardium,1,"Compact myocardium layer established",qualitative literature synthesis,"PMC4446259"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",fbn2,Endocardium,1,"Declining, developmentally-restricted expression by analogy to mammalian FBN2 pattern",qualitative literature synthesis,"PMC3644139; PMID 20970500 pattern extrapolated"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",fbn2,Myocardium,1,"Low",qualitative literature synthesis,"PMC3644139"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",fbn3,Endocardium,2,"Mild fbn3 mutants survive to adulthood with dilated bulbus arteriosus, valvular defects and arrhythmia; ongoing structural role in endocardium/valve",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model"
720,"30 dpf (juvenile)","fetal-postnatal maturation (>12 PCW)",fbn3,Myocardium,1,"Low",qualitative literature synthesis,"2025 bioRxiv Marfan zebrafish model"
