stage_pcw,stage_label,carnegie_or_period,gene,heart_layer,relative_expression_0to3,key_process,evidence_level,citation
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN1,Epicardium,1,"Proepicardial cells beginning to migrate over myocardium",qualitative literature synthesis,"Asp et al. 2019 Cell"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN2,Endocardium,1,"Low, pre-EndMT",qualitative literature synthesis,"Asp et al. 2019 Cell; PMC10806136"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN2,Myocardium,1,"Low",qualitative literature synthesis,"Asp et al. 2019 Cell"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN2,Epicardium,1,"Low",qualitative literature synthesis,"Asp et al. 2019 Cell"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN3,Endocardium,1,"Onset of the 6-12 PCW broad-expression window is approaching",qualitative literature synthesis,"PMID 20970500"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN3,Myocardium,0,"Minimal",qualitative literature synthesis,"PMID 20970500"
4.5,"4.5 PCW","CS11-13, heart tube looping (Asp et al. Stage 1)",FBN3,Epicardium,0,"Minimal",qualitative literature synthesis,"PMID 20970500"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN1,Endocardium,2,"Endocardial-to-mesenchymal transition (EndMT) begins; cushion mesenchyme starts secreting ECM incl. fibrillin microfibrils",qualitative literature synthesis,"PMC4760315 Endocardial-to-mesenchymal transformation in human cardiac valve development; ScienceDirect Endocardial Cushion overview"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN1,Myocardium,1,"Cushion-adjacent myocardium secretes inductive ECM (versican, hyaluronan) but low fibrillin",qualitative literature synthesis,"PMC3795687 BMP-2 versican/hyaluronan AV cushion"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN1,Epicardium,1,"Epicardium spreading over ventricle",qualitative literature synthesis,"Asp et al. 2019 Cell"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN2,Endocardium,2,"Rising in cushion mesenchyme alongside FBN1",qualitative literature synthesis,"PMC10806136; PMC4760315"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN2,Myocardium,1,"Low",qualitative literature synthesis,"PMC10806136"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN2,Epicardium,1,"Low",qualitative literature synthesis,"PMC10806136"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN3,Endocardium,2,"Entering the 6-12 PCW broad fetal expression window",qualitative literature synthesis,"PMID 20970500"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN3,Myocardium,1,"Low-moderate",qualitative literature synthesis,"PMID 20970500"
5,"5 PCW","CS14-15, endocardial cushions form (AVC + OFT)",FBN3,Epicardium,0,"Minimal",qualitative literature synthesis,"PMID 20970500"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN1,Endocardium,3,"Peak cushion mesenchyme activity; AV and outflow-tract cushions actively remodeling into valve primordia",qualitative literature synthesis,"Asp et al. 2019 Cell (PMID 31835037); Farah et al. 2024 cardiomyocyte diversity paper (used same 6.5-7 PCW window)"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN1,Myocardium,1,"Trabeculation increasing, fibrillin low in cardiomyocytes themselves",qualitative literature synthesis,"HPA FBN1 tissue page: ECM/stromal, not cardiomyocyte-enriched"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN1,Epicardium,2,"Epicardium-derived fibroblasts beginning to invade myocardium",qualitative literature synthesis,"Asp et al. 2019 Cell"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN2,Endocardium,3,"Peak developmental expression in cushion/valve mesenchyme",qualitative literature synthesis,"PMC10806136; PMC4760315"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN2,Myocardium,1,"Low",qualitative literature synthesis,"PMC10806136"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN2,Epicardium,2,"Moderate in epicardium-derived mesenchyme",qualitative literature synthesis,"PMC10806136"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN3,Endocardium,3,"Within the flat 6-12 PCW high-expression window described for FBN3",qualitative literature synthesis,"PMID 20970500"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN3,Myocardium,1,"Low-moderate",qualitative literature synthesis,"PMID 20970500"
6.5,"6.5 PCW","Asp et al. Stage 2; venous-pole septation completing",FBN3,Epicardium,1,"Low",qualitative literature synthesis,"PMID 20970500"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN1,Endocardium,3,"Valve leaflets forming from remodeled cushions; endocardium-derived interstitial cells laying down microfibrils",qualitative literature synthesis,"Asp et al. 2019 Cell (PMID 31835037)"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN1,Myocardium,1,"Compact + trabecular myocardium maturing",qualitative literature synthesis,"Asp et al. 2019 Cell"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN1,Epicardium,2,"Coronary vasculogenesis underway, epicardium-derived fibroblasts active",qualitative literature synthesis,"Asp et al. 2019 Cell"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN2,Endocardium,3,"Still within developmental peak",qualitative literature synthesis,"PMC10806136"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN2,Myocardium,1,"Low",qualitative literature synthesis,"PMC10806136"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN2,Epicardium,2,"Moderate",qualitative literature synthesis,"PMC10806136"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN3,Endocardium,3,"Still within 6-12 PCW window",qualitative literature synthesis,"PMID 20970500"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN3,Myocardium,1,"Low",qualitative literature synthesis,"PMID 20970500"
9,"9 PCW","Asp et al. Stage 3; chambers/septa/valves largely formed",FBN3,Epicardium,1,"Low",qualitative literature synthesis,"PMID 20970500"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN1,Endocardium,3,"Valve leaflets beginning fibrosa/spongiosa/ventricularis stratification, microfibril network assembly",qualitative literature synthesis,"PMC8629839 Engineering Aortic Valve ECM through development"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN1,Myocardium,1,"Low",qualitative literature synthesis,"HPA FBN1 tissue page"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN1,Epicardium,2,"Moderate",qualitative literature synthesis,"Asp et al. 2019 Cell"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN2,Endocardium,3,"Last point within reported even 6-12 PCW window before decline",qualitative literature synthesis,"PMID 20970500 (window described for FBN3, analogous decline pattern noted for FBN2 as a developmentally-restricted fibrillin)"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN2,Myocardium,1,"Low",qualitative literature synthesis,"PMC10806136"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN2,Epicardium,1,"Low-moderate",qualitative literature synthesis,"PMC10806136"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN3,Endocardium,3,"Final week of the reported flat 6-12 PCW high window",qualitative literature synthesis,"PMID 20970500"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN3,Myocardium,1,"Low",qualitative literature synthesis,"PMID 20970500"
12,"12 PCW","End of embryonic/1st-trimester fetal transition; valve leaflet stratification begins",FBN3,Epicardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN1,Endocardium,3,"Sustained, FBN1 expressed throughout life",qualitative literature synthesis,"PMID 20970500 (contrast with FBN1 lifelong pattern); PMC10806136"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN1,Myocardium,1,"Low",qualitative literature synthesis,"HPA FBN1 tissue page"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN1,Epicardium,2,"Moderate",qualitative literature synthesis,"Asp/Farah atlas papers"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN2,Endocardium,2,"Declining from embryonic peak but still present (developmentally restricted, not yet silenced)",qualitative literature synthesis,"PMID 20970500 pattern applied to FBN2 as an analogous developmentally-restricted fibrillin"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN2,Myocardium,1,"Low",qualitative literature synthesis,"PMC10806136"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN2,Epicardium,1,"Low",qualitative literature synthesis,"PMC10806136"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN3,Endocardium,1,"Sharp decline after the 12 PCW window per direct literature report",qualitative literature synthesis,"PMID 20970500 Fibrillin-3 expression in human development"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN3,Myocardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
20,"20 PCW","Mid-fetal period, valve maturation continuing",FBN3,Epicardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
40,"40 PCW / term-postnatal","Postnatal heart",FBN1,Endocardium,3,"FBN1 continues to be expressed throughout postnatal/adult life in valve interstitial cells and stroma",qualitative literature synthesis,"PMID 20970500; PMC10806136"
40,"40 PCW / term-postnatal","Postnatal heart",FBN1,Myocardium,1,"Low",qualitative literature synthesis,"HPA FBN1 tissue page"
40,"40 PCW / term-postnatal","Postnatal heart",FBN1,Epicardium,2,"Moderate",qualitative literature synthesis,"HPA FBN1 tissue page"
40,"40 PCW / term-postnatal","Postnatal heart",FBN2,Endocardium,1,"Low postnatal levels, consistent with developmentally-restricted expression",qualitative literature synthesis,"PMID 20970500"
40,"40 PCW / term-postnatal","Postnatal heart",FBN2,Myocardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
40,"40 PCW / term-postnatal","Postnatal heart",FBN2,Epicardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
40,"40 PCW / term-postnatal","Postnatal heart",FBN3,Endocardium,0,"Only low levels in postnatal tissues per direct literature report",qualitative literature synthesis,"PMID 20970500 Fibrillin-3 expression in human development"
40,"40 PCW / term-postnatal","Postnatal heart",FBN3,Myocardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
40,"40 PCW / term-postnatal","Postnatal heart",FBN3,Epicardium,0,"Low",qualitative literature synthesis,"PMID 20970500"
